Company Code,Division Code,Customer Status,Customer No,Customer Group,Customer Type,Search Key,Payment Terms,Delivery Terms,Delivery Method,Salesperson,Responsible,Discount,Discount Model,Discount Group Customer,Currency,District,Country,Credit Limit1,Credit Limit2,Credit Limit3,Last Invoice Date,Postal Code,Pin Code,Credit Period,New customer Info,Group Company,Source,Group Company Info,Customer Info,Master Payment Terms,Customer_Name,Country Name,Cust Group Info,Salesperson Name,Organization No 1,Organization No 2,Customer Stop,Marine_NonMarine,Country_BU,Our_Reference
5,   ,90,0173      ,3  ,0,OM OVERSEA,818,DD ,   ,    ,*USER,0,,  ,INR,   ,IN ,0,0,0,null,          ,          ,null,0173-OM OVERSEAS,External,02-MOVEX,3-,0173-OM OVERSEAS,818-Pmt ProformaInv,OM OVERSEAS,India,Limited Company,null,           ,,0,NonMarine Division,INNonMarine Division,
5,   ,90,A001      ,ALG,0,EXPORT,813,DD ,03 ,2113,*USER,0,,  ,EUR,EXP,MY ,0,0,0,12/30/2009 12:00:00 AM,          ,          ,0,C35501-Alfa Laval Malaysia Sdn Bhd,Group,02-MOVEX,ALG-,A001-ALFA LAVAL(MALAYSIA) SDN BHD,813-Dely month + 60,ALFA LAVAL(MALAYSIA) SDN BHD,Malaysia,null,HSS ORDER- HANDLING,           ,,0,Marine Division,MYMarine Division,
5,   ,90,A002      ,ALG,0,EXPORT,818,DD ,04 ,5600,*USER,0,,  ,EUR,EXP,DE ,0,0,0,11/15/2009 12:00:00 AM,          ,          ,0,C43317-ALFA LAVAL MID EUROPE GMBH,Group,02-MOVEX,ALG-,A002-ALFA LAVAL MID EUROPE GMBH,818-Pmt ProformaInv,ALFA LAVAL MID EUROPE GMBH,Germany,null,MARINE & DIESEL,           ,,0,Marine Division,DEMarine Division,
5,   ,90,A003      ,ALG,0,EXPORT,818,DD ,04 ,2113,*USER,0,,  ,EUR,EXP,SG ,0,0,0,9/17/2009 12:00:00 AM,          ,          ,0,C46752-Alfa Laval Tumba AB,Group,02-MOVEX,ALG-,A003-ALFA LAVAL TUMBA  AB,818-Pmt ProformaInv,ALFA LAVAL TUMBA  AB,Singapore,null,HSS ORDER- HANDLING,           ,375091,0,Marine Division,SGMarine Division,
5,   ,90,A004      ,ALG,0,EXPORT,818,DD ,04 ,2113,*USER,0,,  ,EUR,EXP,IT ,0,0,0,1/25/2008 12:00:00 AM,          ,          ,0,C46752-Alfa Laval Tumba AB,Group,02-MOVEX,ALG-,A004-AL TUMBA AB FISCAL REP.FOR ITALY,818-Pmt ProformaInv,AL TUMBA AB FISCAL REP.FOR ITALY,Italy,null,HSS ORDER- HANDLING,           ,,0,Marine Division,ITMarine Division,
5,   ,90,A005      ,ALG,0,CZECH,801,EXF,01 ,2133,*USER,0,,  ,USD,   ,CZ ,0,0,0,4/9/2008 12:00:00 AM,          ,          ,0,C41501-Alfa Laval spol. s r. o.,Group,02-MOVEX,ALG-,A005-ALFA LAVAL SPOL.S.R.O,801-See remarks,ALFA LAVAL SPOL.S.R.O,Czech Republic,null,DECANTER ORDER- HANDLING,           ,,0,Marine Division,CZMarine Division,
5,   ,90,A006      ,ALG,0,BULGARIA,801,EXF,01 ,6750,*USER,0,,  ,EUR,   ,BG ,0,0,0,10/1/2005 12:00:00 AM,          ,          ,0,C41301-ALFA LAVAL LTD,Group,02-MOVEX,ALG-,A006-ALFA LAVAL BULGARIA LTD,801-See remarks,ALFA LAVAL BULGARIA LTD,Bulgaria,null,MU VOT,           ,,0,Marine Division,BGMarine Division,
5,   ,90,A007      ,ALG,0,OBERFELDST,831,DD ,01 ,6560,*USER,0,,  ,USD,   ,   ,0,0,0,null,          ,          ,null,A007-ALFA LAVAL,Group,02-MOVEX,ALG-,A007-ALFA LAVAL,831-pmt against PI,ALFA LAVAL,null,null,PLS - LIFE SCIENCE,           ,,0,Marine Division,Marine Division,
5,   ,90,A008      ,ALG,0,UK,831,DD ,01 ,2133,*USER,0,,  ,EUR,   ,GB ,0,0,0,4/17/2009 12:00:00 AM,          ,          ,0,C47701-ALFA LAVAL LIMITED (UK),Group,02-MOVEX,ALG-,A008-ALFA LAVAL LIMITED,831-pmt against PI,ALFA LAVAL LIMITED,United Kingdom,null,DECANTER ORDER- HANDLING,NA         ,,0,Marine Division,GBMarine Division,
5,   ,90,A009      ,3  ,0,TANZANIA,831,DD ,   ,6750,*USER,0,,  ,USD,EXP,TZ ,0,0,0,null,          ,          ,null,A009-ALMEHDI OIL & FEED INDUSTRIES LTD,External,02-MOVEX,3-,A009-ALMEHDI OIL & FEED INDUSTRIES LTD,831-pmt against PI,ALMEHDI OIL & FEED INDUSTRIES LTD,Tanzania,Limited Company,MU VOT,           ,,0,Marine Division,TZMarine Division,
5,   ,90,A010      ,ALG,0,FRANCE,033,DD ,01 ,2108,*USER,0,,  ,USD,EXP,FR ,0,0,0,11/14/2008 12:00:00 AM,          ,          ,0,C42721-ALFA LAVAL MOATTI SAS,Group,02-MOVEX,ALG-,A010-ALFA LAVAL MOATTI  SAS,033-Group Pay-terms,ALFA LAVAL MOATTI  SAS,France,null,MANUFACTURING SCRAP,           ,,0,Marine Division,FRMarine Division,
5,   ,90,A011      ,3  ,0,HONDURAS,801,DD ,08 ,6840,*USER,0,,  ,USD,EXP,SY ,0,0,0,null,          ,          ,null,A011-ALWAIS JMF CO,External,02-MOVEX,3-,A011-ALWAIS JMF CO,801-See remarks,ALWAIS JMF CO,Syrian Arab Republic,Limited Company,STARCH TECHNOLOGY,           ,,0,Marine Division,SYMarine Division,
5,   ,90,A012      ,ALG,0,SWEDEN,831,DD ,01 ,6750,*USER,0,,  ,USD,   ,SE ,0,0,0,null,          ,          ,null,A012-ALFA LAVAL AB,Group,02-MOVEX,ALG-,A012-ALFA LAVAL AB,831-pmt against PI,ALFA LAVAL AB,Sweden,null,MU VOT,           ,,0,Marine Division,SEMarine Division,
5,   ,90,A013      ,ALG,0,SWEDEN,030,DD ,01 ,6560,*USER,0,,  ,EUR,   ,DE ,0,0,0,null,          ,          ,0,C41733-ALFA LAVAL NAKSKOV A/S,Group,02-MOVEX,ALG-,A013-ALFA LAVAL NAKSKOV A/S.,"030-20%downpayment,",ALFA LAVAL NAKSKOV A/S.,Germany,null,PLS - LIFE SCIENCE,           ,,0,Marine Division,DEMarine Division,
5,   ,12,A014      ,ALG,0,EXPORT,818,FCA,Z10,    ,MEC005P3A,0,,  ,EUR,EXP,SE ,0,0,0,9/10/2009 12:00:00 AM,          ,          ,0,C46734-Alfa Laval Technologies AB,Group,02-MOVEX,ALG-,A014-ALFA LAVAL LUND  AB,818-Pmt ProformaInv,ALFA LAVAL LUND  AB,Sweden,null,null,           ,47003,0,Marine Division,SEMarine Division,Andrew Tasmer
5,   ,90,A015      ,ALG,0,ALFA LAVAL,801,DD ,01 ,6560,*USER,0,,  ,USD,   ,US ,0,0,0,12/20/2005 12:00:00 AM,          ,          ,null,A015-ALFA LAVAL BIOKINETICS INC.,Group,02-MOVEX,ALG-,A015-ALFA LAVAL BIOKINETICS INC.,801-See remarks,ALFA LAVAL BIOKINETICS INC.,United States of America,null,PLS - LIFE SCIENCE,           ,,0,Marine Division,USMarine Division,
5,   ,90,A016      ,ALG,0,BRAZIL,033,DD ,01 ,4444,*USER,0,,  ,USD,   ,VE ,0,0,0,12/20/2008 12:00:00 AM,          ,          ,0,C28701-ALFA LAVAL VENEZOLANA S.A.,Group,02-MOVEX,ALG-,A016-ALFA LAVAL VENEZOLANA S.A.,033-Group Pay-terms,ALFA LAVAL VENEZOLANA S.A.,Venezuela,null,EPS INDUSTRIAL,           ,,0,Marine Division,VEMarine Division,
